 ALLOGENEIC BONE MARROW TRANSPLANT,14,DRG,,,,,,,INPATIENT,,,807583.2,323033.28,LIFESOURCE,LIFESOURCE COMM,Commercial,305340,,DRG GROUPER,,,,0,368643.54,3872876.38,OTHER,DRG GROUPER,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DRUG TEST PRSMV DIR OPT OBS,80305,HCPCS,300,RC,3001069,CDM,,,OUTPATIENT,,,32,12.8,PHCS,PHCS NETWORK,,28.8,90,PERCENT OF BILLED CHARGES,,,,0,11.68,32,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DTAP (PENTACEL) IPV-HIB SUSR 1 EACH VIAL,90698,HCPCS,636,RC,RXRx49281051005,CDM,49281-510-05,NDC,BOTH,1,EA,379.99,151.996,BCBSMISS,BLUE CROSS OF MS,,284.99,75,PERCENT OF BILLED CHARGES,,,,0,40.4,420.89,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DTAP-HEPATITIS B RECOMB-IPV SUSY 0.5 ML SYRINGE,,,250,RC,RXRx58160081152,CDM,58160-811-52,NDC,BOTH,0.5,ML,398.11,159.244,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,338.39,85,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DTAP-HEPATITIS B RECOMB-IPV SUSY 0.5 ML SYRINGE,,,250,RC,RXRx58160081152,CDM,58160-811-52,NDC,BOTH,0.5,ML,398.11,159.244,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,318.49,80,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DTAP-IPV SUSP 0.5 ML VIAL,,,250,RC,RXRx58160081211,CDM,58160-812-11,NDC,BOTH,0.5,ML,204.19,81.676,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,173.56,85,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DULOXETINE 20 MG CPEP 100 EACH BOX,,,637,RC,RXRx00904704361,CDM,0904-7043-61,NDC,BOTH,20,ME,9.63,3.852,CIGNA,CIGNA COMMERCIAL,,5.59,58,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DULOXETINE 20 MG CPEP 30 EACH BOX,,,637,RC,RXRx60687072321,CDM,60687-723-21,NDC,BOTH,20,ME,40.83,16.332,AETNA,AETNA,,34.71,85,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DULOXETINE 60 MG CPEP 1 EACH,,,637,RC,RXRx60687074511,CDM,60687-745-11,NDC,BOTH,60,ME,38.5,15.4,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,32.73,85,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DULOXETINE 60 MG CPEP 100 EACH BOX,,,637,RC,RXRx00904704561,CDM,0904-7045-61,NDC,BOTH,60,ME,8.62,3.448,MULTIPLAN,MULTIPLAN,,6.9,80,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DULOXETINE 60 MG CPEP 30 EACH BOTTLE,,,637,RC,RXRx27241009903,CDM,27241-099-03,NDC,BOTH,60,ME,39.26,15.704,MPCN,MS PHYSICIAN CARE NETWORK,,19.63,50,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DUPILUMAB 200 MG/1.14ML SOAJ 1.14 ML PEN,,,636,RC,RXRx00024591902,CDM,0024-5919-02,NDC,BOTH,1.14,ML,10566.45,4226.58,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,8241.83,78,PERCENT OF BILLED CHARGES,,,,0,0.02,63413.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DURVALUMAB 120 MG/2.4ML SOLN 2.4 ML VIAL,J9173,HCPCS,636,RC,RXRx00310450012,CDM,0310-4500-12,NDC,BOTH,2.4,ML,5324.72,2129.888,AETNA,AETNA,,4526.01,85,PERCENT OF BILLED CHARGES,,,,0,67.3,19967.63,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DUTASTERIDE 0.5 MG CAPS 90 EACH BOTTLE,,,637,RC,RXRx31722013190,CDM,31722-131-90,NDC,BOTH,0.5,ME,30.25,12.1,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,16.64,55,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DX ALY PRGRMGANDVERIF AUD OI SOUND PROCESSR 1ST 60,92622,HCPCS,471,RC,4710048,CDM,,,OUTPATIENT,,,372,148.8,BCBSMISS,BLUE CROSS OF MS,,372,,APC,,,,0,116.17,372,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DX ALY PRGRMGANDVERIF AUD OI SOUND PROCESSR 1ST 60,92622,HCPCS,471,RC,4710048,CDM,,,OUTPATIENT,,,372,148.8,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,249.77,,APC,,,,0,116.17,372,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DX ALY PRGRMGANDVERIF AUD OI SOUND PROCESSR EA ADL,92623,HCPCS,471,RC,4710049,CDM,,,OUTPATIENT,,,47,18.8,MPCN,MS PHYSICIAN CARE NETWORK,,23.5,50,PERCENT OF BILLED CHARGES,,,,0,18.8,42.3,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DX BONE MARROW BIOPSIES,38221,HCPCS,312,RC,3120044,CDM,,,OUTPATIENT,,,3500,1400,PRIMEWELL,PRIMEWELL COMMERCIAL/PPACA,,3500,,C-APC OUTLIER,,,,0,1271.72,3727.91,OTHER,REIMBURSEMENT BASED ON THE OUTLIER FROM THE COMPREHENSIVE APC CALCULATION,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DYSF NEXTGEN SEQUENCING,81408,HCPCS,310,RC,3101101,CDM,,,OUTPATIENT,,,2000,800,CIGNA,CIGNA COMMERCIAL,,1160,58,PERCENT OF BILLED CHARGES,,,,0,603.2,5000,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DYSPHAGIA SCREENING,V5364,HCPCS,440,RC,4400013,CDM,,,OUTPATIENT,,,190,76,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,95.29,50.15,PERCENT OF BILLED CHARGES,,,,0,76,182,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF CHARGES BASED ON HCPCS CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DYSPHAGIA SCREENING,V5364,HCPCS,440,RC,4400013,CDM,,,OUTPATIENT,,,190,76,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,133,70,PERCENT OF BILLED CHARGES,,,,0,76,182,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DYSPHAGIA SCREENING,V5364,HCPCS,444,RC,4440017,CDM,,,OUTPATIENT,,,190,76,ADVHEALTH,STATE OF MS BLUE CROSS,,142.5,75,PERCENT OF BILLED CHARGES,,,,0,76,182,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
DYSPHAGIA SCREENING,V5364,HCPCS,444,RC,4440017,CDM,,,OUTPATIENT,,,190,76,AMBETTER,INSURANCE EXCHANGE BY MAGNOLIA,,95.29,50.15,PERCENT OF BILLED CHARGES,,,,0,76,182,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF CHARGES BASED ON HCPCS CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EAR TUBES,,,272,RC,2780104,CDM,,,OUTPATIENT,,,52,20.8,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,36.4,70,PERCENT OF BILLED CHARGES,,,,0,16.8,46350,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ECG>7D<15D RECORDING,93246,HCPCS,731,RC,7310011,CDM,,,OUTPATIENT,,,125,50,MEDADV_UHCDSNP,UNITED MEDICARE ADV DUAL SPECIAL NEEDS (DSNP),,34.73,,APC,,,,0,30.81,113.9,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ECULIZUMAB 300 MG/30ML SOLN 30 ML VIAL,J1299,HCPCS,636,RC,RXRx25682000101,CDM,25682-001-01,NDC,BOTH,30,ML,32875.92,13150.368,MEDADV_HUMANA,HUMANA MEDICARE ADVANTAGE,,46.61,,APC,,,,0,33.91,29588.33,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EDWARDS PASCAL DEVICE,C1889,HCPCS,278,RC,2780316,CDM,,,OUTPATIENT,,,20700,8280,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,14490,70,PERCENT OF BILLED CHARGES,,,,0,620.4,45191.7,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EEG DIGITAL ANALYSIS,95957,HCPCS,740,RC,7400034,CDM,,,OUTPATIENT,,,313,125.2,MPCN,MS PHYSICIAN CARE NETWORK,,156.5,50,PERCENT OF BILLED CHARGES,,,,0,125.2,281.7,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EFAVIRENZ-EMTRICITAB-TENOFO DF 600-200-300 MG TABS 30 EACH BOTTLE,,,637,RC,RXRx65862049730,CDM,65862-497-30,NDC,BOTH,300,ME,523.48,209.392,PPOPLUS,PPOPLUS (ZELIS NETWORK SOLUTIONS),,408.31,78,PERCENT OF BILLED CHARGES,,,,0,0.4,34615.28,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EFGARTIGIMOD ALFA-FCAB 400 MG/20ML SOLN 20 ML VIAL,J9332,HCPCS,636,RC,RXRx73475304105,CDM,73475-3041-5,NDC,BOTH,20,ML,31823.57,12729.428,FIRSTCHOICE,FIRST CHOICE HIGH PERFORMANCE NETWORK,,80.38,,APC,,,,0,27.31,28641.21,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
EGD-CONTROL BLEEDING,,,361,RC,3610005,CDM,,,OUTPATIENT,,,2400,960,HEALTHLINK_TUPELO,NORTH MISSISSIPPI HEALTH LINK,,2040,85,PERCENT OF BILLED CHARGES,,,,0,40,12187.8,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF BILLED CHARGES WITH DRG LIMIT - FLOOR AMOUNT - CEILING AMOUNT,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELEC STIM OTHER THAN WOUND,G0283,HCPCS,430,RC,4300025,CDM,,,OUTPATIENT,,,29,11.6,UNITED-OPTIONS,UNITED HEALTHCARE- OPTIONS PLAN,,29,,PER VISIT OUTPATIENT,,,,0,11.31,29.3,OTHER,PER VISIT OUTPATIENT CAN TRIGGER A FLAT RATE PER REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELEC STIM OTHER THAN WOUND,G0283,HCPCS,430,RC,4300073,CDM,,,OUTPATIENT,,,29,11.6,FIRSTCHOICE-HUM,FIRST CHOICE- HUMANA,,29.3,,APC,,,,0,11.31,29.3,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTRIC CURRENT THERAPY,97033,HCPCS,420,RC,4200098,CDM,,,OUTPATIENT,,,47,18.8,MS-CAN-MAGNOLIA,MSCAN MAGNOLIA (CENTENE),,16.1,,FEE SCHEDULE,,,,0,15.94,47,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTRICAL STIMULATION,97032,HCPCS,430,RC,4300054,CDM,,,OUTPATIENT,,,35,14,MEDADV_PRIMEWELL,PRIMEWELL MEDICARE ADVANTAGE,,14.18,,APC,,,,0,12.33,35,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTROCARDIOGRAM TRACING,93005,HCPCS,730,RC,7300001,CDM,,,OUTPATIENT,,,161,64.4,FIRSTHEALTH,FIRST HEALTH NETWORK,,128.8,80,PERCENT OF BILLED CHARGES,,,,0,46.62,161,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF ITEM CHARGES BASED ON REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTROCONVULSIVE THERAPY,90870,HCPCS,901,RC,9010001,CDM,,,OUTPATIENT,,,1250,500,MOLINA_EXCHANGE,MOLINA MARKETPLACE,,1250,,APC,,,,0,416.47,2000,OTHER,APC,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTROCONVULSIVE THERAPY,90870,HCPCS,901,RC,9010004,CDM,,,OUTPATIENT,,,2000,800,MAGNOLIA-CHIP,MAGNOLIA CHILDRENS HEALTH INSURANCE (CHIP),,909.77,,FEE SCHEDULE,,,,0,416.47,2000,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTROCONVULSIVE THERAPY,90870,HCPCS,901,RC,9010004,CDM,,,OUTPATIENT,,,2000,800,WELLCARE,WELLCARE MEDICARE ADVANTAGE,,798.58,,APC,753.85,753.85,753.85,1 THROUGH 10,416.47,2000,OTHER,APC,
ELECTROLYTE-A SOLN 500 ML FLEX CONT,,,250,RC,RXRx00338022103,CDM,0338-0221-03,NDC,BOTH,250,ML,42.5,17,CIGNA,CIGNA COMMERCIAL,,25.5,60,PERCENT OF BILLED CHARGES,,,,0,0.01,113224.21,PERCENT OF TOTAL BILLED CHARGES,PERCENT OF CHARGES BASED ON THE REVENUE CODE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
ELECTRON MICROSCOPY,88348,HCPCS,312,RC,3120020,CDM,,,OUTPATIENT,,,1482,592.8,TRUECARE-CHIP,TRUECARE CHIP,,1400.65,,FEE SCHEDULE,,,,0,205.98,1818.54,FEE SCHEDULE,HCPCS/CPT FEE SCHEDULE,NO HISTORICAL PAYMENT DATA AVAILABLE: THIS HOSPITAL HAS NOT RECEIVED ANY ELECTRONIC REMITTANCE ADVICE (835 TRANSACTIONS) FOR THIS CODE COMBINATION DURING THE MEASUREMENT PERIOD. NO STATISTICAL MEASURES (MEDIAN AND PERCENTILES) CAN BE CALCULATED.
